,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,f40dcbf0-7a8e-4751-b8fb-33e3db1af33e,Delvina Merdiayu Ringgi,https://play-lh.googleusercontent.com/a-/ALV-UjU5d2IqEGkYp4pB7lsL_umHGhiYfHVNhHh0kvN1C6YRag,Bagaimana mengatasi penyimpangan yang sudah full? Sudah saya hapus tapi tidak bisa karena masa periode nya masih berlaku,3,0,4.7.8,2023-11-07 15:36:38,"Hi Kak Delvina, betul jika file masih menjadi lampiran di postingan, tidak bisa dihapus yah. Solusinya silakan menggunakan penyimpanan PT atau Gdrive. Silakan bisa join ke grup edlink community di link https://edlink.id/class/IHMZK untuk diskusi lebih lanjut. Jangan lupa update menjadi bintang 5 jika penjelasan dari kami cukup jelas. Terima kasih",2023-11-08 01:32:47,4.7.8
1,a1d4a35f-d140-458a-8f23-c202b248ba1b,Isak Lopes,https://play-lh.googleusercontent.com/a/ACg8ocKBiZN2fVsawRQVt4YRmpFphzA8jTgtzukh2ED_sFhL=mo,Aplikasinya bagus sekali Bisa membantu mahasiswa dalam kegiatan perkuliahan,5,0,4.7.8,2023-11-07 07:54:31,Halo Kak Isak. Terima kasih atas ulasannya. Semoga Aplikasi Edlink ini bisa membantu dan bermanfaat dalam proses perkuliahan Kakak yah. Terima kasih. Sehat selalu :),2023-11-08 01:29:09,4.7.8
2,0deb90fd-4434-4fbc-ae3b-a21db73d7f64,yuli jitmau,https://play-lh.googleusercontent.com/a/ACg8ocIk7ZHDgiVq4NF6QM-xp4wJgIQ8F7dsC8L4Fyrhws8m=mo,Sangat bagus,5,0,,2023-11-07 04:43:29,Halo Kak Yuli. Terima kasih atas ulasannya. Semoga Aplikasi Edlink ini bisa membantu dan bermanfaat dalam proses perkuliahan Kakak yah. Terima kasih. Sehat selalu :),2023-11-08 01:28:54,
3,4399cc31-0df5-4204-9457-dc247ff016f3,Fajri Alif,https://play-lh.googleusercontent.com/a/ACg8ocLWbvobk-ZhFKT2arBY9OGgyfjBoF-pUg23HGpT8AHe=mo,Good,5,0,4.7.6,2023-11-05 06:20:08,Halo Kak Fajri. Terima kasih atas ulasannya. Semoga Aplikasi Edlink ini bisa membantu dan bermanfaat dalam proses perkuliahan Kakak yah. Terima kasih. Sehat selalu :),2023-11-07 03:52:12,4.7.6
4,d9778a6c-3fe1-4119-83a0-fb3110cf4b7f,Adhima Dima,https://play-lh.googleusercontent.com/a/ACg8ocJeRxJHhYDUX4yhKna2TObIkxcaCTH1CJ_V4FMs2uAD=mo,Masih banyak tab yang bug tolong di rapihkan kembali terimakasih,2,0,4.7.8,2023-11-03 14:36:44,Halo Kak Adhima. Mohon maaf atas ketidaknyamanannya. Silakan bisa kirimkan detail kendalanya ke email edlink@sevima.com ya Kak. atau bisa join ke grup edlink community di link https://edlink.id/class/IHMZK . Kami akan membantu menyelesaikan kendala yang Kakak alami. Jangan lupa update menjadi bintang 5 jika kendala sudah teratasi. Terima kasih :),2023-11-07 03:52:41,4.7.8
5,b9516100-70b5-4432-ba08-834ed8ef3bc1,Midong Doo,https://play-lh.googleusercontent.com/a-/ALV-UjXlLaNNCmUsxq-Wa5afOH2Q_6PQxzVc_pwyCARXlNyFQWI,"Mohon min. Untuk pembagian kelompoknya jangan sesuai abjad, semoga ada perubahannya dan ratingnya nanti bagus",1,0,4.7.7,2023-10-31 11:35:36,"Halo Kak Midong. Terima kasih atas ulasannya yah. Sebagai informasi, masalah pembagian kelompok ini yang menentukan dosen ya Kak, di edlink sudah tersedia fitur pembagian kelompok tidak sesuai abjad. Tapi dosen Kakak memilih yang pembagian kelompok sesuai abjad. Jangan lupa update menjadi bintang 5 jika paham penjelasan kami. Terima kasih :)",2023-11-01 11:59:55,4.7.7
6,4e115964-95b7-49ea-96f6-c704c637df08,Axel Darmawan,https://play-lh.googleusercontent.com/a-/ALV-UjXy8qdQ9t74SjtRkNCBryiBgNbfbjmb2MDjJhFftei7wBc,Good,5,0,4.7.8,2023-10-31 11:18:06,Halo Kak Axel. Terima kasih atas ulasannya. Semoga Aplikasi Edlink ini bisa membantu dan bermanfaat dalam proses perkuliahan Kakak yah. Terima kasih. Sehat selalu :),2023-11-01 12:00:17,4.7.8
7,27f8597d-9c84-407f-a8f2-a57f843cb1fb,Daris Naufal Fikri,https://play-lh.googleusercontent.com/a-/ALV-UjW4iFZAjJZfkHzbUyDjBBCFvC_Fva_Estdfd_w4qoAy6w,ngebug wktu quiz padahal jaringan aman aman saja,1,0,4.7.7,2023-10-31 02:46:21,"Halo Kak Daris, silakan update aplikasi edlink ke versi terbaru di 4.7.8 yah. Kemudian silakan bisa kirimkan detail kendala beserta NIM dan asal PT ke email edlink@sevima.com ya Kak. Kami akan membantu menyelesaikan kendala yang Kakak alami. Jangan lupa update menjadi bintang 5 jika kendala sudah teratasi. Terima kasih :)",2023-10-31 02:52:33,4.7.7
8,56e5bd4a-6929-47d5-92ed-a0e7819fe695,Mau Kiamat,https://play-lh.googleusercontent.com/a/ACg8ocJU3tJKh5_FC1AQL9-0ggBfyVlirhMFOSnk2i2QKX2Q=mo,Bug nya banyak banget bikin risih,1,0,,2023-10-31 02:46:15,Halo Kak. Mohon maaf atas ketidaknyamanannya. Silakan bisa kirimkan NIM dan asal PT ke email edlink@sevima.com ya Kak. atau bisa join ke grup edlink community di link https://edlink.id/class/IHMZK . Kami akan membantu menyelesaikan kendala yang Kakak alami. Jangan lupa update menjadi bintang 5 jika kendala sudah teratasi. Terima kasih :),2023-10-31 02:53:04,
9,feb4e7bf-1232-42d9-862a-f6b11d08293a,Bening Aulia,https://play-lh.googleusercontent.com/a/ACg8ocISOXHEcDWxtzq1oFDhrnP-1enqxvQVjPJx3Luojnl6=mo,Kasih bintang 5 dah biar uts lancar,5,0,4.7.8,2023-10-30 01:03:33,Halo Kak Bening. Terima kasih atas ulasannya. Semoga Aplikasi Edlink ini bisa membantu dan bermanfaat dalam proses perkuliahan Kakak yah. Terima kasih. Sehat selalu :),2023-10-30 01:41:04,4.7.8
